feature,importance
Reviews_Log,0.63581414198938
Size_MB,0.12614056583873043
Review_Ratio,0.11424364075376639
Cat_OTHER,0.011766870841690973
Cat_FAMILY,0.011392932101772562
Installs_Log,0.011210092842913376
Price,0.010483783246155516
Cat_MEDICAL,0.007632581412421663
Cat_TOOLS,0.006725620187332784
Cat_LIFESTYLE,0.0066871945991600875
Cat_SPORTS,0.006367418896840349
Cat_COMMUNICATION,0.0060964027322560135
Cat_PERSONALIZATION,0.006050570782409996
Cat_BUSINESS,0.006016314497839267
Cat_NEWS_AND_MAGAZINES,0.005651959218380823
